decision_id,order_id,selected_supplier_id,decided_at,agent_name,agent_version,confidence,selection_reason
DEC-000020,ORD-000020,SUP-026,2026-01-09T16:01:24.501Z,cluster-resolve-v1,1.0.0,0.83,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000021,ORD-000021,SUP-015,2026-01-08T11:33:36.589Z,cluster-resolve-v1,1.0.0,0.72,Selected Lotus Drug Distribution under emergency stock allocation.
DEC-000022,ORD-000022,SUP-005,2026-02-20T17:57:20.624Z,cluster-resolve-v1,1.0.0,0.91,Selected Pyramids Health Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000023,ORD-000023,SUP-013,2026-08-10T21:10:24.677Z,cluster-resolve-v1,1.0.0,0.85,Selected Karnak Pharma Services based on optimal unit cost and historical fill rate reliability.
DEC-000024,ORD-000024,SUP-015,2026-04-25T08:39:08.141Z,cluster-resolve-v1,1.0.0,0.86,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000025,ORD-000025,SUP-003,2026-01-11T17:50:43.278Z,cluster-resolve-v1,1.0.0,0.86,Selected Alexandria MedLog Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000026,ORD-000026,SUP-021,2026-06-11T13:35:41.981Z,cluster-resolve-v1,1.0.0,0.89,Selected Red Sea Pharma Supply based on optimal unit cost and historical fill rate reliability.
DEC-000027,ORD-000027,SUP-016,2025-11-05T16:17:13.361Z,cluster-resolve-v1,1.0.0,0.88,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000028,ORD-000028,SUP-015,2026-08-07T19:47:13.467Z,cluster-resolve-v1,1.0.0,0.87,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000029,ORD-000029,SUP-001,2026-02-08T11:04:46.223Z,cluster-resolve-v1,1.0.0,0.84,Selected Nile Delta Pharma Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000030,ORD-000030,SUP-014,2025-10-09T07:18:13.952Z,cluster-resolve-v1,1.0.0,0.91,Selected Sphinx Healthcare Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000031,ORD-000031,SUP-011,2026-08-04T03:06:01.586Z,cluster-resolve-v1,1.0.0,0.88,Selected Apex National Pharma Logistic based on optimal unit cost and historical fill rate reliability.
DEC-000032,ORD-000032,SUP-012,2026-08-13T19:30:50.096Z,cluster-resolve-v1,1.0.0,0.83,Selected Sovereign Medical Distro based on optimal unit cost and historical fill rate reliability.
DEC-000033,ORD-000033,SUP-008,2026-07-15T16:35:10.596Z,cluster-resolve-v1,1.0.0,0.95,Selected Middle East Pharmaceutical Hub based on optimal unit cost and historical fill rate reliability.
DEC-000034,ORD-000034,SUP-012,2026-08-03T00:42:02.880Z,cluster-resolve-v1,1.0.0,0.84,Selected Sovereign Medical Distro based on optimal unit cost and historical fill rate reliability.
DEC-000035,ORD-000035,SUP-015,2026-01-18T23:19:13.532Z,cluster-resolve-v1,1.0.0,0.72,Selected Lotus Drug Distribution under emergency stock allocation.
DEC-000036,ORD-000036,SUP-016,2025-12-11T04:28:20.626Z,cluster-resolve-v1,1.0.0,0.95,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000037,ORD-000037,SUP-012,2026-01-21T19:23:23.590Z,cluster-resolve-v1,1.0.0,0.84,Selected Sovereign Medical Distro based on optimal unit cost and historical fill rate reliability.
DEC-000038,ORD-000038,SUP-004,2026-04-04T15:25:22.714Z,cluster-resolve-v1,1.0.0,0.85,Selected Cairo Valley Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000039,ORD-000039,SUP-010,2025-10-03T14:12:11.347Z,cluster-resolve-v1,1.0.0,0.89,Selected Delta Prime Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000040,ORD-000040,SUP-002,2026-07-31T19:07:57.380Z,cluster-resolve-v1,1.0.0,0.95,Selected Horus Medical Supply Co. based on optimal unit cost and historical fill rate reliability.
DEC-000041,ORD-000041,SUP-026,2026-06-30T22:28:54.100Z,cluster-resolve-v1,1.0.0,0.84,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000042,ORD-000042,SUP-028,2026-04-20T09:31:59.967Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Al-Rowad Healthcare Distribution due to strategic volume contract despite higher per-unit quote.
DEC-000043,ORD-000043,SUP-012,2026-07-21T14:32:08.558Z,cluster-resolve-v1,1.0.0,0.83,Selected Sovereign Medical Distro based on optimal unit cost and historical fill rate reliability.
DEC-000044,ORD-000044,SUP-026,2026-07-31T02:14:58.716Z,cluster-resolve-v1,1.0.0,0.89,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000045,ORD-000045,SUP-016,2026-08-02T05:17:32.308Z,cluster-resolve-v1,1.0.0,0.9,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000046,ORD-000046,SUP-008,2026-06-29T03:27:24.394Z,cluster-resolve-v1,1.0.0,0.5,Selected Middle East Pharmaceutical Hub without a recorded decision-time offer; evidence arrived after allocation.
DEC-000047,ORD-000047,SUP-016,2026-04-21T15:20:08.369Z,cluster-resolve-v1,1.0.0,0.9,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000048,ORD-000048,SUP-005,2026-08-10T00:53:21.914Z,cluster-resolve-v1,1.0.0,0.94,Selected Pyramids Health Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000049,ORD-000049,SUP-015,2026-05-14T08:35:14.266Z,cluster-resolve-v1,1.0.0,0.88,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000050,ORD-000050,SUP-007,2026-04-02T09:41:38.645Z,cluster-resolve-v1,1.0.0,0.88,Selected Upper Egypt Pharma Direct based on optimal unit cost and historical fill rate reliability.
DEC-000051,ORD-000051,SUP-024,2026-04-08T04:52:20.220Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Canal Cities Drug Supply due to strategic volume contract despite higher per-unit quote.
DEC-000052,ORD-000052,SUP-018,2026-01-09T05:02:19.241Z,cluster-resolve-v1,1.0.0,0.84,Selected Ramses Healthcare Distro based on optimal unit cost and historical fill rate reliability.
DEC-000053,ORD-000053,SUP-002,2026-02-12T09:45:25.947Z,cluster-resolve-v1,1.0.0,0.82,Selected Horus Medical Supply Co. based on optimal unit cost and historical fill rate reliability.
DEC-000054,ORD-000054,SUP-016,2026-03-31T17:04:51.009Z,cluster-resolve-v1,1.0.0,0.95,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000055,ORD-000055,SUP-005,2026-08-02T15:17:43.911Z,cluster-resolve-v1,1.0.0,0.93,Selected Pyramids Health Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000056,ORD-000056,SUP-015,2026-04-19T10:59:32.362Z,cluster-resolve-v1,1.0.0,0.88,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000057,ORD-000057,SUP-021,2025-12-16T03:19:38.978Z,cluster-resolve-v1,1.0.0,0.96,Selected Red Sea Pharma Supply based on optimal unit cost and historical fill rate reliability.
DEC-000058,ORD-000058,SUP-005,2026-01-06T17:08:24.752Z,cluster-resolve-v1,1.0.0,0.93,Selected Pyramids Health Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000059,ORD-000059,SUP-026,2025-11-09T00:50:14.881Z,cluster-resolve-v1,1.0.0,0.84,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000060,ORD-000060,SUP-026,2026-08-05T07:50:42.154Z,cluster-resolve-v1,1.0.0,0.96,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000061,ORD-000061,SUP-028,2026-04-01T04:00:06.158Z,cluster-resolve-v1,1.0.0,0.91,Selected Al-Rowad Healthcare Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000062,ORD-000062,SUP-004,2026-07-18T18:31:40.613Z,cluster-resolve-v1,1.0.0,0.91,Selected Cairo Valley Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000063,ORD-000063,SUP-015,2026-06-14T20:58:55.999Z,cluster-resolve-v1,1.0.0,0.83,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000064,ORD-000064,SUP-014,2026-08-09T02:29:13.383Z,cluster-resolve-v1,1.0.0,0.86,Selected Sphinx Healthcare Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000065,ORD-000065,SUP-026,2025-12-18T05:53:18.002Z,cluster-resolve-v1,1.0.0,0.88,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000066,ORD-000066,SUP-028,2026-04-21T10:02:43.755Z,cluster-resolve-v1,1.0.0,0.88,Selected Al-Rowad Healthcare Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000067,ORD-000067,SUP-009,2025-10-14T19:17:18.951Z,cluster-resolve-v1,1.0.0,0.93,Selected Al-Amal Medical Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000068,ORD-000068,SUP-009,2026-04-24T23:30:10.171Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Al-Amal Medical Distribution due to strategic volume contract despite higher per-unit quote.
DEC-000069,ORD-000069,SUP-016,2026-08-05T05:35:52.104Z,cluster-resolve-v1,1.0.0,0.94,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000070,ORD-000070,SUP-015,2026-02-26T15:48:51.901Z,cluster-resolve-v1,1.0.0,0.91,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000071,ORD-000071,SUP-022,2026-08-08T01:38:55.399Z,cluster-resolve-v1,1.0.0,0.85,Selected Mediterranean Med Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000072,ORD-000072,SUP-016,2026-08-04T13:47:50.674Z,cluster-resolve-v1,1.0.0,0.94,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000073,ORD-000073,SUP-005,2026-01-16T13:33:44.856Z,cluster-resolve-v1,1.0.0,0.95,Selected Pyramids Health Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000074,ORD-000074,SUP-028,2026-08-05T14:22:50.244Z,cluster-resolve-v1,1.0.0,0.82,Selected Al-Rowad Healthcare Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000075,ORD-000075,SUP-007,2025-10-26T04:15:39.867Z,cluster-resolve-v1,1.0.0,0.92,Selected Upper Egypt Pharma Direct based on optimal unit cost and historical fill rate reliability.
DEC-000076,ORD-000076,SUP-025,2026-06-20T12:49:18.956Z,cluster-resolve-v1,1.0.0,0.95,Selected Al-Salam Medical Trading based on optimal unit cost and historical fill rate reliability.
DEC-000077,ORD-000077,SUP-015,2026-03-21T07:20:50.273Z,cluster-resolve-v1,1.0.0,0.84,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000078,ORD-000078,SUP-007,2025-10-25T14:32:05.108Z,cluster-resolve-v1,1.0.0,0.89,Selected Upper Egypt Pharma Direct based on optimal unit cost and historical fill rate reliability.
DEC-000079,ORD-000079,SUP-010,2026-02-10T16:16:16.460Z,cluster-resolve-v1,1.0.0,0.92,Selected Delta Prime Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000080,ORD-000080,SUP-014,2026-07-13T01:51:10.335Z,cluster-resolve-v1,1.0.0,0.83,Selected Sphinx Healthcare Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000081,ORD-000081,SUP-016,2025-12-15T18:18:44.154Z,cluster-resolve-v1,1.0.0,0.88,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000082,ORD-000082,SUP-013,2026-03-13T12:44:04.231Z,cluster-resolve-v1,1.0.0,0.83,Selected Karnak Pharma Services based on optimal unit cost and historical fill rate reliability.
DEC-000083,ORD-000083,SUP-019,2026-07-16T01:20:03.980Z,cluster-resolve-v1,1.0.0,0.85,Selected Pharaonic Medical Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000084,ORD-000084,SUP-015,2026-08-07T15:31:02.143Z,cluster-resolve-v1,1.0.0,0.91,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000085,ORD-000085,SUP-027,2026-08-05T10:55:56.426Z,cluster-resolve-v1,1.0.0,0.92,Selected United Egyptian Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000086,ORD-000086,SUP-016,2026-05-26T00:17:39.195Z,cluster-resolve-v1,1.0.0,0.91,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000087,ORD-000087,SUP-016,2026-07-16T05:31:02.359Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Amon Medical Supplies due to strategic volume contract despite higher per-unit quote.
DEC-000088,ORD-000088,SUP-026,2026-06-11T02:49:33.899Z,cluster-resolve-v1,1.0.0,0.89,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000089,ORD-000089,SUP-013,2025-10-18T22:13:42.180Z,cluster-resolve-v1,1.0.0,0.87,Selected Karnak Pharma Services based on optimal unit cost and historical fill rate reliability.
DEC-000090,ORD-000090,SUP-016,2026-08-03T13:16:50.875Z,cluster-resolve-v1,1.0.0,0.96,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000091,ORD-000091,SUP-015,2026-05-02T09:01:41.753Z,cluster-resolve-v1,1.0.0,0.95,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000092,ORD-000092,SUP-022,2025-10-20T21:57:28.934Z,cluster-resolve-v1,1.0.0,0.89,Selected Mediterranean Med Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000093,ORD-000093,SUP-008,2025-11-16T14:41:16.001Z,cluster-resolve-v1,1.0.0,0.88,Selected Middle East Pharmaceutical Hub based on optimal unit cost and historical fill rate reliability.
DEC-000094,ORD-000094,SUP-014,2026-08-07T09:50:42.190Z,cluster-resolve-v1,1.0.0,0.92,Selected Sphinx Healthcare Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000095,ORD-000095,SUP-001,2025-12-19T05:29:03.887Z,cluster-resolve-v1,1.0.0,0.95,Selected Nile Delta Pharma Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000096,ORD-000096,SUP-023,2026-01-22T15:22:51.100Z,cluster-resolve-v1,1.0.0,0.95,Selected Oasis Pharma Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000097,ORD-000097,SUP-004,2026-08-08T17:31:43.249Z,cluster-resolve-v1,1.0.0,0.85,Selected Cairo Valley Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000098,ORD-000098,SUP-015,2026-04-16T11:04:06.833Z,cluster-resolve-v1,1.0.0,0.86,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000099,ORD-000099,SUP-016,2026-05-08T08:00:54.482Z,cluster-resolve-v1,1.0.0,0.82,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000100,ORD-000100,SUP-008,2025-11-05T10:47:31.122Z,cluster-resolve-v1,1.0.0,0.88,Selected Middle East Pharmaceutical Hub based on optimal unit cost and historical fill rate reliability.
DEC-000101,ORD-000101,SUP-002,2026-04-07T20:14:16.697Z,cluster-resolve-v1,1.0.0,0.94,Selected Horus Medical Supply Co. based on optimal unit cost and historical fill rate reliability.
DEC-000102,ORD-000102,SUP-023,2025-11-28T21:14:03.180Z,cluster-resolve-v1,1.0.0,0.83,Selected Oasis Pharma Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000103,ORD-000103,SUP-022,2026-06-13T23:46:30.586Z,cluster-resolve-v1,1.0.0,0.92,Selected Mediterranean Med Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000104,ORD-000104,SUP-003,2026-08-02T15:56:17.734Z,cluster-resolve-v1,1.0.0,0.89,Selected Alexandria MedLog Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000105,ORD-000105,SUP-015,2025-11-17T15:07:11.213Z,cluster-resolve-v1,1.0.0,0.95,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000106,ORD-000106,SUP-026,2026-02-08T07:59:38.862Z,cluster-resolve-v1,1.0.0,0.84,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000107,ORD-000107,SUP-020,2026-01-26T05:08:20.831Z,cluster-resolve-v1,1.0.0,0.88,Selected Nefertiti Drug Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000108,ORD-000108,SUP-016,2026-08-08T01:16:01.617Z,cluster-resolve-v1,1.0.0,0.84,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000109,ORD-000109,SUP-011,2026-05-12T19:26:52.489Z,cluster-resolve-v1,1.0.0,0.87,Selected Apex National Pharma Logistic based on optimal unit cost and historical fill rate reliability.
DEC-000110,ORD-000110,SUP-008,2026-03-30T01:33:26.674Z,cluster-resolve-v1,1.0.0,0.84,Selected Middle East Pharmaceutical Hub based on optimal unit cost and historical fill rate reliability.
DEC-000111,ORD-000111,SUP-003,2026-01-11T17:07:44.183Z,cluster-resolve-v1,1.0.0,0.96,Selected Alexandria MedLog Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000112,ORD-000112,SUP-015,2026-04-30T04:38:05.843Z,cluster-resolve-v1,1.0.0,0.89,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000113,ORD-000113,SUP-011,2025-10-11T04:44:53.907Z,cluster-resolve-v1,1.0.0,0.92,Selected Apex National Pharma Logistic based on optimal unit cost and historical fill rate reliability.
DEC-000114,ORD-000114,SUP-017,2026-02-09T08:57:06.749Z,cluster-resolve-v1,1.0.0,0.84,Selected Cleopatra Pharma Hub based on optimal unit cost and historical fill rate reliability.
DEC-000115,ORD-000115,SUP-001,2026-08-03T06:49:47.340Z,cluster-resolve-v1,1.0.0,0.72,Selected Nile Delta Pharma Distribution under emergency stock allocation.
DEC-000116,ORD-000116,SUP-011,2026-02-18T16:31:59.379Z,cluster-resolve-v1,1.0.0,0.92,Selected Apex National Pharma Logistic based on optimal unit cost and historical fill rate reliability.
DEC-000117,ORD-000117,SUP-018,2026-08-11T09:18:26.487Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Ramses Healthcare Distro due to strategic volume contract despite higher per-unit quote.
DEC-000118,ORD-000118,SUP-008,2025-10-14T17:32:09.953Z,cluster-resolve-v1,1.0.0,0.89,Selected Middle East Pharmaceutical Hub based on optimal unit cost and historical fill rate reliability.
DEC-000119,ORD-000119,SUP-015,2025-10-20T16:08:00.490Z,cluster-resolve-v1,1.0.0,0.72,Selected Lotus Drug Distribution under emergency stock allocation.
DEC-000120,ORD-000120,SUP-009,2026-01-25T16:03:38.885Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Al-Amal Medical Distribution due to strategic volume contract despite higher per-unit quote.
DEC-000121,ORD-000121,SUP-018,2026-01-26T05:11:05.392Z,cluster-resolve-v1,1.0.0,0.92,Selected Ramses Healthcare Distro based on optimal unit cost and historical fill rate reliability.
DEC-000122,ORD-000122,SUP-003,2026-05-13T14:24:13.717Z,cluster-resolve-v1,1.0.0,0.89,Selected Alexandria MedLog Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000123,ORD-000123,SUP-006,2026-06-13T03:38:09.022Z,cluster-resolve-v1,1.0.0,0.82,Selected Sinai Medical Trading based on optimal unit cost and historical fill rate reliability.
DEC-000124,ORD-000124,SUP-014,2025-11-08T15:42:16.573Z,cluster-resolve-v1,1.0.0,0.92,Selected Sphinx Healthcare Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000125,ORD-000125,SUP-003,2025-12-28T19:33:36.501Z,cluster-resolve-v1,1.0.0,0.95,Selected Alexandria MedLog Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000126,ORD-000126,SUP-015,2026-01-29T18:00:00.231Z,cluster-resolve-v1,1.0.0,0.84,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000127,ORD-000127,SUP-006,2026-01-12T23:04:38.862Z,cluster-resolve-v1,1.0.0,0.86,Selected Sinai Medical Trading based on optimal unit cost and historical fill rate reliability.
DEC-000128,ORD-000128,SUP-011,2026-02-08T13:04:10.059Z,cluster-resolve-v1,1.0.0,0.87,Selected Apex National Pharma Logistic based on optimal unit cost and historical fill rate reliability.
DEC-000129,ORD-000129,SUP-011,2026-08-05T11:32:12.958Z,cluster-resolve-v1,1.0.0,0.9,Selected Apex National Pharma Logistic based on optimal unit cost and historical fill rate reliability.
DEC-000130,ORD-000130,SUP-014,2026-04-12T11:42:07.514Z,cluster-resolve-v1,1.0.0,0.85,Selected Sphinx Healthcare Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000131,ORD-000131,SUP-010,2026-07-24T05:03:03.473Z,cluster-resolve-v1,1.0.0,0.95,Selected Delta Prime Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000132,ORD-000132,SUP-026,2026-02-27T12:50:39.414Z,cluster-resolve-v1,1.0.0,0.94,Selected Al-Safwa Pharma Distro based on optimal unit cost and historical fill rate reliability.
DEC-000133,ORD-000133,SUP-015,2026-04-07T10:36:12.814Z,cluster-resolve-v1,1.0.0,0.84,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000134,ORD-000134,SUP-013,2026-02-21T23:40:54.791Z,cluster-resolve-v1,1.0.0,0.72,Selected Karnak Pharma Services under emergency stock allocation.
DEC-000135,ORD-000135,SUP-016,2026-08-11T01:52:32.125Z,cluster-resolve-v1,1.0.0,0.87,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000136,ORD-000136,SUP-028,2026-08-14T00:07:06.261Z,cluster-resolve-v1,1.0.0,0.95,Selected Al-Rowad Healthcare Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000137,ORD-000137,SUP-017,2026-02-28T01:57:20.048Z,cluster-resolve-v1,1.0.0,0.86,Selected Cleopatra Pharma Hub based on optimal unit cost and historical fill rate reliability.
DEC-000138,ORD-000138,SUP-016,2025-11-02T07:28:15.625Z,cluster-resolve-v1,1.0.0,0.87,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000139,ORD-000139,SUP-006,2026-02-16T05:28:58.183Z,cluster-resolve-v1,1.0.0,0.94,Selected Sinai Medical Trading based on optimal unit cost and historical fill rate reliability.
DEC-000140,ORD-000140,SUP-015,2025-12-08T22:37:11.452Z,cluster-resolve-v1,1.0.0,0.96,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000141,ORD-000141,SUP-027,2026-01-31T21:04:06.316Z,cluster-resolve-v1,1.0.0,0.89,Selected United Egyptian Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000142,ORD-000142,SUP-028,2026-08-09T09:32:28.431Z,cluster-resolve-v1,1.0.0,0.85,Selected Al-Rowad Healthcare Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000143,ORD-000143,SUP-023,2025-10-17T10:45:56.599Z,cluster-resolve-v1,1.0.0,0.72,Selected Oasis Pharma Distribution under emergency stock allocation.
DEC-000144,ORD-000144,SUP-016,2026-05-01T04:12:59.509Z,cluster-resolve-v1,1.0.0,0.94,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000145,ORD-000145,SUP-018,2025-12-31T00:53:42.640Z,cluster-resolve-v1,1.0.0,0.88,Selected Ramses Healthcare Distro based on optimal unit cost and historical fill rate reliability.
DEC-000146,ORD-000146,SUP-004,2025-10-12T06:46:52.896Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Cairo Valley Drug Distribution due to strategic volume contract despite higher per-unit quote.
DEC-000147,ORD-000147,SUP-015,2026-05-18T19:10:44.745Z,cluster-resolve-v1,1.0.0,0.88,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
